,text,target,label
74,i am symptomatic in very rural hawaii and i rely on the bus . it is 50 miles to the closest test site . at 67 i am relatively healthy so i am not too worried . i am not going to spread this shit to weaker folks . blue tsunami vote by mail biden,joe biden,1
75,"thanks brooks ! happy to ride joe is coat tails but here on out i am focusing on making sure folks are registered to vote and that they vote regardless of whether it is by mail , early voting or voting on election day !",joe biden,1
76,"hey students for biden ! guess who heard about all of your hard work and enthusiasm for our campaign during these tough times in our nation ? joe biden , of course ! thank you so much for being a part of biden and leading our program with empathy and respect",joe biden,1
77,"atta rodo ! biden bb na ija bb na ija twist always repping red because you know , its a spicy sum tin",joe biden,1
78,this is a major endorsement ! dallas congresswoman rep eb j backs joe biden for president .,joe biden,1
79,we did it ! joe biden is our official nominee ! let the transition to biden commence !,joe biden,1
80,to represent kurt schrader reps ch rader endorses joe biden . his statement about why he is endorsing biden is on point .,joe biden,1
81,oh my God I am a cry like a little girl when obama endorses joe today,joe biden,0
82,barack obama s endorsement video of joe biden has too . 7 am viewers thus far . obama endorses biden joe biden lets go .,joe biden,1
83,"for everyone with the hot takes on the twitterati tonight this is a coming from doug jones , a candidate whose reply election is critically dependent on mobilization , engagement and support of black voters across his state . he is supporting joe biden . i think he son too something",joe biden,1
84,"with joe biden as our candidate , we reply all going to get up and take our country back ! i a caucus",joe biden,1
85,"joe biden in virtual town hall reminds us inspector generals exist to keep washington honest . joe said as president he would t fire them . whether or not that happens , pretty darn sure if he had reason to do it , president biden would t fire someone on friday night .",joe biden,1
86,"troy ryan xxx obviously as you know voting & amp legislation are the only way to change anything . so your mission is not only register people to vote half of america didnt bother last election , but also make sure they actually get out to vote starting in october . joe biden",joe biden,1
87,"hey aust an goolsbee , are you sure you are backing the right horse ? it is never too late to come over to joe biden and biden 2020 . . . i will wager your buddy be too rourke would t mind it a bit if you left the human weathervane is team , and mosied on up to uncle joe biden . never pete",joe biden,1
88,i am extremely proud to be on team joe ! ! vice president biden is exactly who we need as president of the united states of america ! i am proud to support him for the democratic nomination ! let is get this done ! ! ! dem debate,joe biden,1
89,this is joe biden from 2018 talking about white nationalism and phony populism . this is what a president should sound like when talking about these issues . white supremacist terrorism,joe biden,1
90,today is the 11 th anniversary of president barack obama asking joe biden to be his vice president nominee . vp biden has said on multiple occasions that the decision to join president obama & amp to serve this country was the greatest honor of his life . obama biden,joe biden,1
91,and why are they doing this ? because despite what they say . . . they are scared of running against biden . they have shown their cards from the day he announced ! we know joe is t and with joe,joe biden,1
92,"and that makes . . . . three for three , baby ! ! ! thank you , arizona , illinois , and florida ! ! joe biden",joe biden,1
93,"so proud of joe biden for his vision for healthcare and undocs . they are here , they contribute and they help reduce our healthcare costs . most importantly they are people just like you and i .",joe biden,1
94,why do they keep letting wentworth slip through the cracks though ? ! joe is going to come back with a vengeance . survivor edge of extinction joe is bae,joe biden,1
95,biden today down at the hollywood walk of fame with lots of positive feedback & amp folks vote blue voting for ca for biden no malarkey,joe biden,1
96,"fact joe biden introduced the first climate change bill in the you . is . senate . as president , he will put us back into paris agreement on day one . read the biden plan for a clean energy revolution i a caucus acton climate",joe biden,1
97,". joe biden was born and raised in scranton , pennsylvania like in the office just another reason to vote for joe ! ! gmg unt",joe biden,1
98,"i put my full support behind the joe schiavoni campaign for ohio governor , and you should too ! click the link to sign up and be apart of the grassroots campaign .",joe biden,1
99,outgoing presidents leave letters to their successors showing immense grace during the transition of the american presidency . i can only imagine the letter that will await joe biden as he enters the oval office as 46 . one voice 1,joe biden,1
100,"were celebrating the first democratic presidential primary debate by hosting a watch party for joe biden s campaign in atlanta , go ahead tonight ! join us ! where am bar ultra lounge , 186 auburn ave any time 8 30 p 11 p rsvp here dem debate",joe biden,1
101,so joe biden is strategy to mobilize black voters is to brush aside slavery as a broken promise ? george washington didn t embrace philadelphia freedom . he ferried his 9 slaves between philly & amp mt . vernon lest they be freed under pa law h / t michael co ard .,joe biden,1
102,biden wins mail in wyoming democratic presidential caucus after two week postponement ride n with biden,joe biden,1
103,sunday monday and tuesday . Instant Message giving up bachelor in paradise because i love joe that much hahaha,joe biden,1
104,bill clinton hillary clinton i believe the country would love to hear from some wise leaders as well at a time like this . lets get off the bench and in the game . joe biden joe biden,joe biden,1
105,happy knock tober ! it was beautiful day in nice hand to talk to voters about joe biden join your local joe biden find a canvass near you & get nh politics,joe biden,1
106,"5 / 21 thu 8 p edt minnesota joe biden meeting c ovid 19 housing Instant Message attending joe biden for presidents event , moorhead / fargo community discussion on housing and covid 19 sign up now to join me ! go joe 2020 dem cast dem cast mn",joe biden,1
107,went all the way to staten island for one and they had sold out joe biden,joe biden,1
108,"all right , all you people out there who love democracy , representative government , and actually listening to the people here is the call to action . let is do this . ridin with biden bfd biden",joe biden,1
109,"come join the joe biden for iowa action team ! get out to caucus . consider filling out the form below to help biden win iowa ! a staffer will be in contact with you soon . fit n biden front nh for biden , nu for biden , biden oregon , biden for p",joe biden,1
110,"going live in 7 minutes for a virtual round table with ruben gallego , dr raulruiz , and joe biden about the impact of covid 19 on the latino community . i hope you can join us for this discussion !",joe biden,1
111,too organizers at work cj c for b & amp c hubert and 1 organizer handling the digital ! i a caucus joe biden,joe biden,1
112,and cheers another great endorsement for joe biden ! they just keep coming !,joe biden,1
113,Instant Message on biden because 100 thousanddead and i would like to have a president with a heart and a brain .,joe biden,1
114,great interview . i wish the explanation of the anita hill hearing was given to everyone and not just in glamour magazine . it would make people understand more . not much it was over 25 years ago & people change . team jill im ridin with the biden s biden,joe biden,1
115,"endorsement alert ! another great endorsement for joe biden ! this time from former governor of iowa , chet culver ! this is a big f**king deal ! welcome to",joe biden,1
116,"a great write up by the one and only holly b dc about dr biden s frequent stops in small iowa towns jill biden is a relentless charm machine , with a jammed schedule of half a dozen or more events a day here as she seeks to win over voters . i a caucus",joe biden,1
117,we already have bullies in washington llooking to degrade a person is worth because of certain disabilities and is willing to cash in whenever they can . joe biden,joe biden,1
118,"joe biden is so incredible , honest , potent , and thorough . know how and integrity . so proud of him .",joe biden,1
119,chloe is making me watch strictly 2018 and i have gone from being entirely uninterested to being entirely on joe biden he is freaking adorable,joe biden,1
120,"Instant Message a raiser for joe biden ! joe represents everything i like about people . . . loyalty to family , loyalty to country and good at his craft ! please consider a donation team joe fellows",joe biden,1
121,speaker pelosi have you thought of running for president ? you may be the only woman who could truly win against him ! or maybe a joe biden / speaker pelosi ticket ?,joe biden,1
122,"for all the supporters of all the democrats 2020 presidential candidates thank you ! none of us are going to back down from getting this germ & amp cohorts out of wh , senate , congress , governorship & amp state legislatures . dem s united 2020 joe biden",joe biden,1
123,its glorious watching them attempt to spin screw up after screw up as if theres nothing to see here folks being on joe biden is going to get more & amp more difficult because joe is exactly who he is & amp the more he gets exposed the more illogical the spin gets,joe biden,0
124,"ben sekali needs to sing a song by kulcha , just saying the voice au joe biden",joe biden,1
125,happy to have you ! biden has the momentum . 46 days to go . let is get it done ! ohio,joe biden,1
126,what hashtag campaign ? ! missing you too doll doll . hope youre having fun panto ing . biden,joe biden,1
127,"joe biden grew stronger today with the endorsement of civil rights leader dr . robert green . dr . green knows that as president joe biden will be a statesman , a leader , and a unifier .",joe biden,1
128,"best of luck today to this ole irishman on Stop That . patrick is day ! bring it home today , joe biden ! we are behind you !",joe biden,1
129,"so , if you are jewish or know someone who is , if you care at all about fighting modern day nazism , i beg you , vote for joe biden , a man who will stand against nazis , not create ads of nazi propaganda .",joe biden,1
130,"one thing i keep telling those democrats / independents who claim to be on the fence about supporting joe , if your adored candidate is supporting biden , should t you trust his / her judgment ?",joe biden,1
131,we hope everyone has been getting their steps in ! tune in tonight at 7 on bbc 1 to see if the body coach has beaten this is davina for sport relief ! joe biden,joe biden,1
132,i never liked the jonas brothers when i was young . but damn sucker biden,joe biden,1
133,trxmp needs a muzzle on his mouth . . release your taxes or shut up ! joe biden,joe biden,1
134,vote a straight democratic ticket in november . no republicans . no third parties . joe biden,joe biden,1
135,joe biden is ready to give back and keep truckee meadows beautiful !,joe biden,1
136,"hey mayor anderson take no notice of the trolls . they jailed mandela and tried the same with ali , your in great company . you just carry on doing marvelous things for our city biden",joe biden,1
137,"we only have 9 saturdays left until the fit n primary , and these joe biden canvassers know it . they reply out on the doors this weekend telling voters why joe biden is the experienced leader this country needs . denial of normal t waste one more saturday . nh politics",joe biden,1
138,"flashlight hats part too senator bob kerrey , tate for michigan , and t berry 456 join me in this exclusive door knocking reply enactment . lights ! , camera , action ! joe for i a team joe i a caucus",joe biden,1
139,"best news all day . if the puppet master all of a sudden lets go of the strings , or simply is no longer there , what happens to the puppet ? sam vinograd a sharan g appa cia spy girl jon cooper tweets westchester for joe joe mamas 2020 jersey girls for joe elections 2020 we know joe",joe biden,1
140,the big man himself came by the keene office to commit to vote for joe biden today get on santa nice list by signing up for,joe biden,1
141,every vote matters in this election to defeat this horrible human being in the white house . so thank you conservative congressman walsh freedom for voting for joe biden . president biden,joe biden,1
142,"joe biden anita hill anita hill story explained , since so many do not have a friggen clue about the facts since they do not research for themselves but only repeat what others say . reminds me of 2016 when it happened to hillary . .",joe biden,1
143,how i feel everytime e warren comes up with a new scam plan wed a best joe biden,joe biden,1
144,lots of awesome action across the country today for the joe biden day of action !,joe biden,1
145,people in iowa city fired up to support joe biden . excited to hear joe vision and hit the doors to share that vision with there neighbors dem debate i a for joe,joe biden,1
146,can i fake id so i can be young again ? joe biden,joe biden,1
147,"with the night about to be over Instant Message sitting here thinking how much i have to do , and learn to prepare for the caucus coming up in 100 days for biden here in nevada . i got nervous and i got scared , but then i watched this video and now Instant Message fired up 100 daysforjoe love this team",joe biden,1
148,progress isnt about perfection . progress is about moving forward . the only way we move forward is by electing joe biden president this november .,joe biden,1
149,"! ! happy pride ! ! come join joe biden for a virtual happy hour monday june 1 Stop That at 11 am please send tell via zoom with Lesbien, Gay, Bisexual, Transgender and Queer. biden supporters and allies from across california and the country , rsvp & amp register for both stay home",joe biden,1
150,its going to be a good day today . joe biden just needs to hurry up and nominate his female vp . ridin with joe dem primary election 2020,joe biden,1
151,team joe asked you to submit your ideas to formalize a set of guiding principles for the campaign . the team used those ideas to establish the principles joe biden will live by reflecting the community what ever already built . the code,joe biden,1
152,i am in ! i am happy to soon begin learning digital organizing to help elect joe biden president .,joe biden,1
153,this is personal for me . this is why i fight . i believe deeply that health care is a right for all not a privilege for the few . read joe biden on health care today . he gets it because he is been there . and we reply not going back & get & get nh politics,joe biden,1
154,"today i was part of an historic event . the first ever meeting of the il delegation to the dnc held on zoom . i am proud to be a part of this diverse , motivated group . we heard inspirational words by vp biden , sen durbiln , governor pritzker , & mayor lightfoot . il d cca",joe biden,1
155,biden plus even maisie sort of made some comments early on that contradict the most recent ones .,joe biden,1
156,jami vines for is at it again with some help from the best damn organizing team in the country ! proud to be biden everyday . joe for nv,joe biden,1
157,monday mood had enough of the marijuana blame games . . the previous administrator . ? enough tinkering around . . we are the united states of america . not another term of pot us 45 ! biden team joe team joe fellows,joe biden,1
158,joe assigns aydan the task of singing side to side . the voice au,joe biden,1
159,"after visiting with volunteers in iowa city , khizr khan stopped by the mother mosque in cedar rapids . learned about the rich history and discussed joe biden s vision for an inclusive america . i a caucus no ban now all biden at the mother mosque of america",joe biden,1
160,we already have bullies in washington looking to degrade a person is worth because of certain disabilities and is willing to cash in whenever they can . joe biden,joe biden,1
161,todays a great day to be in concord ! students from acton boxborough regional highschool are here in new hampshires capitol city to knock doors and talk to voters about joe biden ! fit n,joe biden,1
162,"its raining ! its a precinct captain training ! wow wow , look at this room ! i a caucus joe biden joe for i a team joe joe biden",joe biden,1
163,congratulations to you you will be a great asset to biden,joe biden,1
164,"you may call it pre gaming , but we call it a pre debate watch party with / dr biden . joe biden has moved its campaign online but we reply still engaging with voters . use the link to rsvp and join us at 7 pm edt before the democratic debate !",joe biden,1
165,"i am not free while any person is unfree , even when their shackles are very different from my own audre l . i am with you . i am proud . i love you . i see you . pride national coming out day joe biden",joe biden,1
166,". joe biden when asked about his legacy Instant Message not worried about my legacy , Instant Message worried about our country . vp biden isnt in this race for himself hes in it for us and to fight for the soul of our nation .",joe biden,1
167,"this m lk day post by biden is the real deal you all . very powerful video ! please watch to the end ! if your not inspired to vote after watching , theres no hope for you . another super awesome video , joe biden s campaign is killing it ! martin luther king day m lk 2020 m lk",joe biden,1
168,"i want to thank you for your faith in an idea thats bigger than any one of us and that is , that we can build a better nation when we do this together . dr biden in oskaloosa i a caucus joe biden at smokey row coffee co .",joe biden,1
169,"you are a true leader joe , you know what your doing . . . seems like an eternity since you and president obama were in office . . we need to fix the damage that has been done . . .",joe biden,1
170,"tomorrow , 06 / 19 , at 1 pm et florida juneteenth celebration join famu for biden & amp amp biden supporters from around florida to celebrate june teen th 2020 with a showcase of amazing black artists , writers , & amp singers from across the country ! rsvp flap ol",joe biden,1
171,biden maintains lead in nevada poll thehill,joe biden,1
172,biden just said he will pick a woman to be vp and appoint a black woman to the supreme court !,joe biden,1
173,"dear joe biden , i am guessing they would disagree with you .",joe biden,1
174,"with millions of calls to make & thousands of volunteer training ahead , biden needs a strong may finish . midmonth fundraising was behind pace . that is okay , but let is make sure it does t happen again . 5 months left united .",joe biden,1
175,"watching jang lim 21 tear up on eoe breaks my damn heart . but like a phoenix , he shall rise ! ! and return to the game stronger than ever ! survivor biden",joe biden,1
176,"that is why i enjoy joe biden because most of his supporters are genuine & amp humble . early on , folks thought because we were t loud and threatening people on social media somehow meant a lack of enthusiasm which was false . joe biden supporters are calm , focused & amp a positive bunch",joe biden,1
177,you know what isn t malarkey ? the amazing c hubert and her ability to decorate a biden headquarters office ! i a caucus,joe biden,1
178,this warren de no crat / team warren voter will be joe biden this november . join me ! unite or die,joe biden,1
179,me Right now waiting for the turn texas blue event tonight at 5 15 cdt ! be too rourke joe biden,joe biden,1
180,diego agarcia was one of my precinct captains in envy ! hes a great part of this team . so glad youre still involved ! biden,joe biden,1
181,"happy birthday to j to brown , one of the funniest , kindest , smartest people , who always knows how to make you smile and laugh . biden must read playbook birthday of the day jamal brown , national press secretary for joe bidens campaign politico",joe biden,1
182,"people want results , not a revolution joe biden amen . could be more proud to support the vice president . we cant wait years to help people . vp biden has a plan for now . dem debate",joe biden,1
183,". joe biden spent some time this morning to , as he would put it , support the people that brought him to the dance . fight for 15 sei u union strong democratic debate unions for all",joe biden,1
184,also paige in tn and mun oz ka 315 are not to be messed with . biden,joe biden,1
185,"all these senators and congressmen / women coming out to endorse biden now . . . Instant Message happy in a way . . . in another way i think . . . . oh great , how bold and honorable of you to endorse someone when there is nobody left ! ! ! !",joe biden,1
186,this will never happen when joe biden is president . because he is not a reckless thug who advocates violence .,joe biden,1
187,its time to rally behind the candidate who will turn out the base of the party and suburbs we won in 2018 and who wont alienate voters . joe biden,joe biden,1
188,"as we all adjust to working virtually , our campaign is going full steam ahead ! if you want to join us in our efforts to campaign and organize creatively , stay up to date with everything we are doing at the link below ! biden",joe biden,1
189,had to bring out the panoramic camera lens to try to do this turnout justice ! joe biden is in new castle for a town hall and clearly biden is ready to hear what he has to say ! nh politics fit n i love my job ! ! !,joe biden,1
190,"joe biden can return our country back to the right path of honor and dignity both domestic and worldwide . i support joe biden for president 2020 team biden 2020 , students biden , lister lester , the democrats , lib dem s democrats camp a ing 2020",joe biden,1
191,as a volunteer for joe biden i find this statement unconscionable . nobody i have interacted with would ever put votes before the health and safety of the voters . i think you owe someone actually a lot of someones an apology .,joe biden,1
192,"standing room only for joe biden in elko , envy today . not a single corner of this state is off the table for our campaign fit w",joe biden,1
193,is it possible to have a better day than canvassing the beautiful streets on concord for joe biden ! ! ! fit n,joe biden,1
194,take your click bait disinfo and shove it ! 96 of dem support joe biden ! do not waste our time with dem in disarray . not this time ! ! ! vote joe,joe biden,1
195,i remember when they used to say that about hrc . didnt like the way she talked or laughed . now look at what we have to listen to daily ! i can listen to biden speak all day compared to we have now .,joe biden,1
196,"Instant Message proud to be a part of joe soul squad , a group of supporters ready to connect with other supporters and organize online and win ! join me here",joe biden,1
197,enjoying my sunday evening by attending another joe biden virtual event ! thanks to everyone who hopped on tonight is central oregon community meeting hosted by mac callahan me and our amazing volunteer amy .,joe biden,1
198,join me in bedford on tuesday for a round table talk ! joe biden wants to hear directly from you about your thoughts and ideas ! we love meeting our amazing local voters ! nh politics click the link and rsvp,joe biden,1
199,vetting is not the same as selected . i will wait for something official from the campaign before i lose my shit over the suggestion of a klobuchar selection . ridin with biden joe biden,joe biden,1
200,"i haven t seen anything but enthusiasm for joe biden from joe biden we reply excited there is a kind compassionate candidate running that has so much experience after serving decades in the senate , foreign relations , and as vp working side by side with an incredible president for 8 years",joe biden,1
201,kind of telling that he is against americans having their voices heard denial of normal t you think ? biden,joe biden,0
202,attention granite state seacoast the next potus joe biden is coming to hampton this sunday at for pm ! join biden and rsvp with the links below,joe biden,1
203,"team joe exotic or team carole baskin ? we this graphic , so we will be ordering it for our own inventory soon ! sign gypsies sign gypsies shrewsbury tiger king carole baskin joe exotic tiger team baskin",joe biden,1
204,excited to have michelle w kwan in nevada with team joe kicking off our debate watch party . were ready to cheer on joe biden ! ! fit w nv politics,joe biden,1
205,biden texas is an important battleground state for our campaign . lets help joe win texas and the white house . texas has 38 electoral votes . chip in $ 38 bucks now,joe biden,1
206,a fox news poll at that ! can we just skip april oct and just jump to november already ? biden,joe biden,1
207,this is how i react when i feel disheartened about things . biden for president 2020 biden,joe biden,1
208,prominent black women from atlanta potential contenders for bidens vp ride n with biden,joe biden,1
209,mort told me he would be a precinct captain for joe biden if i gave him the shirt off my back . . . so now joe biden has 1 more precinct captain and i have 1 less shirt,joe biden,1
210,back in january joe biden on point again . love this ! !,joe biden,1
211,joe is showing up this is what leaders do digital coalition,joe biden,1
212,"big news ! supporters across the country have asked us how they can get involved for joe biden , and today we reply excited to announce the new joe biden organizing application ! now you can volunteer and help get out the vote from anywhere !",joe biden,1
213,one thing that i love about biden stans is that they are chill and denial of normal t act like bullying cultists . ridin with biden,joe biden,1
214,i will sure as hell be voting for joe biden in november . pass it on .,joe biden,1
215,"we need leaders with humility like obama / biden ! i cant wait to have joe take up the reins where president obama left off ! we need caring people who listen & just as obama said , we need a great team ! joe has a great team ! stronger together",joe biden,1
216,thank you for the support of the press . biden we are all on the edge of our seats waiting to hear about the new vp .,joe biden,1
217,joe biden hosted climate town hall watch parties tonight in east las vegas & amp henderson to support joe biden and his plan to take action on climate .,joe biden,1
